City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
209,Bousso,TD,88.72,Broken Clouds,10.4795,16.7117,
211,Kendari,ID,75.78,Overcast Clouds,-3.945,122.4989,Hotel Wixel
222,Basco,PH,77.22,Overcast Clouds,20.4487,121.9702,Nathaniel's Lodge
226,Kirakira,SB,77.54,Overcast Clouds,-10.4544,161.9205,SanBiz Lodge
228,Nouadhibou,MR,78.78,Overcast Clouds,20.931,-17.0347,El Medina
229,Nabire,ID,75.63,Overcast Clouds,-3.3667,135.4833,Hotel Nusantara Nabire
233,Ancud,CL,76.23,Broken Clouds,-41.8697,-73.8203,Hotel Arena Gruesa
235,Meulaboh,ID,77.85,Broken Clouds,4.1363,96.1285,Kost Pria
240,Lompoc,US,81.12,Clear Sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
248,Mahibadhoo,MV,81.28,Overcast Clouds,3.7833,72.9667,Omadhoo Inn
250,Cabano,PH,78.42,Overcast Clouds,10.5869,122.7002,The Clara Beach and Guest House (official)
254,Pimentel,PE,77.29,Clear Sky,-6.8367,-79.9342,Casona Del Muelle
258,Atar,MR,82.99,Few Clouds,20.5169,-13.0499,Oumou Elghoura
260,Karratha,AU,86.49,Broken Clouds,-20.7377,116.8463,ibis Styles Karratha
266,Manali,IN,81.07,Few Clouds,13.1667,80.2667,Sarathy Lodge
270,Ko Samui,TH,82.63,Broken Clouds,9.5357,99.9357,The Passage
277,Berbera,SO,76.42,Overcast Clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
279,Elayirampannai,IN,81.05,Overcast Clouds,9.2667,77.8333,
282,Cockburn Town,TC,77.67,Clear Sky,21.4612,-71.1419,Osprey Beach Hotel
286,Benguela,AO,80.83,Overcast Clouds,-12.5763,13.4055,Hotel Praia Morena
290,Conceicao Da Barra,BR,83.25,Overcast Clouds,-18.5933,-39.7322,Cricaré Praia Hotel
293,Pandan,PH,76.24,Light Rain,14.0453,124.1694,Bonifacio Lodge
296,Cap Malheureux,MU,81.09,Broken Clouds,-19.9842,57.6142,Pereybere Hotel & Spa
301,Fayaoue,NC,81.86,Overcast Clouds,-20.65,166.5333,Chez Dydyce Guesthouse
305,Rawson,AR,79.0,Overcast Clouds,-43.3002,-65.1023,Hosteria Sampedro
307,Garowe,SO,77.76,Broken Clouds,8.4054,48.4845,Curubo Hotel
