City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
219,Nuevo Progreso,MX,23.1667,-97.95,71.6,65,73,3.2,Broken Clouds
220,Maniitsoq,GL,65.4167,-52.9,11.82,81,100,16.4,Light Snow
221,Solnechnyy,RU,50.7214,136.6319,10.63,92,100,7.25,Overcast Clouds
222,Basco,PH,20.4487,121.9702,77.22,71,85,17.07,Overcast Clouds
223,Catamarca,AR,-28.4696,-65.7852,69.78,73,95,1.99,Overcast Clouds
224,Ayan,RU,56.45,138.1667,-5.66,80,58,6.69,Broken Clouds
225,Mikuni,JP,36.2171,136.1519,33.71,81,83,4.83,Broken Clouds
226,Kirakira,SB,-10.4544,161.9205,77.54,88,100,5.19,Overcast Clouds
227,Dingle,PH,10.9995,122.6711,74.79,92,92,8.72,Overcast Clouds
228,Nouadhibou,MR,20.931,-17.0347,78.78,29,96,12.66,Overcast Clouds
229,Nabire,ID,-3.3667,135.4833,75.63,92,98,2.66,Overcast Clouds
230,Concepcion Del Uruguay,AR,-32.4825,-58.2372,68.99,77,100,4.0,Overcast Clouds
231,Dunedin,NZ,-45.8742,170.5036,50.81,70,100,18.01,Overcast Clouds
232,Leningradskiy,RU,69.3833,178.4167,-22.13,98,98,4.43,Overcast Clouds
233,Ancud,CL,-41.8697,-73.8203,76.23,62,72,6.24,Broken Clouds
234,Newtownards,GB,54.5924,-5.6909,48.52,80,45,13.8,Scattered Clouds
235,Meulaboh,ID,4.1363,96.1285,77.85,86,76,4.09,Broken Clouds
236,Broome,US,42.2506,-75.833,46.17,68,100,17.27,Overcast Clouds
237,Nayagarh,IN,20.1333,85.1,62.01,44,47,2.08,Scattered Clouds
238,Harlingen,US,26.1906,-97.6961,73.98,87,75,6.91,Broken Clouds
239,Kelvington,CA,52.1667,-103.5343,1.06,92,99,6.64,Overcast Clouds
240,Lompoc,US,34.6391,-120.4579,81.12,46,0,12.66,Clear Sky
241,Mocuba,MZ,-16.8392,36.9856,74.1,93,98,5.91,Light Rain
242,Dauphin,CA,51.1494,-100.0502,-3.86,71,75,9.22,Broken Clouds
243,Bermejo,AR,-32.8833,-68.8,69.71,35,40,5.75,Scattered Clouds
244,Shirokiy,RU,49.758,129.523,4.19,94,100,9.04,Overcast Clouds
245,Tselinnoye,RU,53.0833,85.6667,-8.45,100,43,3.67,Scattered Clouds
246,Delvada,IN,20.7667,71.0333,69.17,39,2,6.91,Clear Sky
247,Nagato,JP,34.3833,131.2,44.51,64,44,5.48,Scattered Clouds
248,Mahibadhoo,MV,3.7833,72.9667,81.28,73,89,5.46,Overcast Clouds
249,Necochea,AR,-38.5473,-58.7368,68.04,45,1,11.56,Clear Sky
250,Cabano,PH,10.5869,122.7002,78.42,85,93,15.41,Overcast Clouds
251,Kamaishi,JP,39.2667,141.8833,35.67,77,60,7.85,Broken Clouds
252,Leirvik,NO,59.7798,5.5005,43.21,95,100,17.9,Light Rain
253,Mahon,ES,39.8885,4.2658,55.96,58,0,6.91,Clear Sky
254,Pimentel,PE,-6.8367,-79.9342,77.29,65,0,4.61,Clear Sky
255,Pierre,US,44.3683,-100.351,21.27,67,40,11.99,Scattered Clouds
256,Lebork,PL,54.5392,17.7501,35.92,65,90,10.63,Overcast Clouds
257,Adamovka,RU,51.5223,59.9396,28.2,97,100,12.93,Light Snow
258,Atar,MR,20.5169,-13.0499,82.99,13,19,16.28,Few Clouds
259,Somerset,US,40.5668,-74.5496,59.34,47,0,12.66,Clear Sky
260,Karratha,AU,-20.7377,116.8463,86.49,67,51,3.85,Broken Clouds
261,La Seyne-Sur-Mer,FR,43.0982,5.8847,57.16,56,41,5.01,Scattered Clouds
262,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,75,14.97,Broken Clouds
263,Yumen,CN,40.2833,97.2,25.07,45,100,7.83,Overcast Clouds
264,Iberia,US,29.9502,-91.7507,66.18,68,40,4.61,Scattered Clouds
